,Session Title/Poster Group,Poster #,Presentation Time,Title,Author(s),Paper ID
0,Deep Learning,1,09:00,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,Hongyang Li; David Eigen; Samuel Dodge; Matthew Zeiler; Xiaogang Wang,5
1,,2,09:05,Edge-Labeling Graph Neural Network for Few-Shot Learning,Jongmin Kim; Taesup Kim; Sungwoong Kim; Chang D. Yoo,6340
2,,3,09:10,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning,Spyros Gidaris; Nikos Komodakis,5728
3,,4,09:18,Kervolutional Neural Networks,Chen Wang; Jianfei Yang; Lihua Xie; Junsong Yuan,257
4,,5,09:23,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,Matthias Hein; Maksym Andriushchenko; Julian Bitterwolf,4863
5,,6,09:28,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,Yusuke Tsuzuku; Issei Sato,6679
6,,7,09:36,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,Siyuan Qiao; Zhe Lin; Jianming Zhang; Alan L. Yuille,948
7,,8,09:41,Hardness-Aware Deep Metric Learning,Wenzhao Zheng; Zhaodong Chen; Jiwen Lu; Jie Zhou,2284
8,,9,09:46,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,Chenxi Liu; Liang-Chieh Chen; Florian Schroff; Hartwig Adam; Wei Hua; Alan L. Yuille; Li Fei-Fei,1183
9,,10,09:54,Learning Loss for Active Learning,Donggeun Yoo; In So Kweon,1535
10,,11,09:59,Striking the Right Balance With Uncertainty,Salman Khan; Munawar Hayat; Syed Waqas Zamir; Jianbing Shen; Ling Shao,2230
11,,12,10:04,AutoAugment: Learning Augmentation Strategies From Data,Ekin D. Cubuk; Barret Zoph; Dandelion Mané; Vijay Vasudevan; Quoc V. Le,2368
12,3D Multiview,72,09:00,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration Without Correspondences,Huu M. Le; Thanh-Toan Do; Tuan Hoang; Ngai-Man Cheung,494
13,,73,09:05,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,Thomas Schöps; Torsten Sattler; Marc Pollefeys,2315
14,,74,09:10,Revealing Scenes by Inverting Structure From Motion Reconstructions,Francesco Pittaluga; Sanjeev J. Koppal; Sing Bing Kang; Sudipta N. Sinha,2286
15,,75,09:18,Strand-Accurate Multi-View Hair Capture,Giljoo Nam; Chenglei Wu; Min H. Kim; Yaser Sheikh,1185
16,,76,09:23,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation,Jeong Joon Park; Peter Florence; Julian Straub; Richard Newcombe; Steven Lovegrove,6756
17,,77,09:28,Pushing the Boundaries of View Extrapolation With Multiplane Images,Pratul P. Srinivasan; Richard Tucker; Jonathan T. Barron; Ravi Ramamoorthi; Ren Ng; Noah Snavely,2957
18,,78,09:36,GA-Net: Guided Aggregation Net for End-To-End Stereo Matching,Feihu Zhang; Victor Prisacariu; Ruigang Yang; Philip H.S. Torr,1935
19,,79,09:41,Real-Time Self-Adaptive Deep Stereo,Alessio Tonioni; Fabio Tosi; Matteo Poggi; Stefano Mattoccia; Luigi Di Stefano,2901
20,,80,09:46,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,Sunok Kim; Seungryong Kim; Dongbo Min; Kwanghoon Sohn,6639
21,,81,09:54,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences,Chen Zhao; Zhiguo Cao; Chi Li; Xin Li; Jiaqi Yang,3522
22,,82,09:59,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry,Matthew Trager; Martial Hebert; Jean Ponce,5852
23,,83,10:04,Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image,Xiaoguang Han; Zhaoxuan Zhang; Dong Du; Mingdai Yang; Jingming Yu; Pan Pan; Xin Yang; Ligang Liu; Zixiang Xiong; Shuguang Cui,1944
24,Action & Video,109,09:00,Video Action Transformer Network,Rohit Girdhar; João Carreira; Carl Doersch; Andrew Zisserman,292
25,,110,09:05,Timeception for Complex Action Recognition,Noureldien Hussein; Efstratios Gavves; Arnold W.M. Smeulders,302
